카테고리,제목,주최,조회수,D-day,접수기간,팀원 모집,댓글 수,포스터,상세 링크,상세 내용
국내봉사,?? 손글씨 기부 봉사활동을 함께할 따뜻한 분들을 모집해요.,온기우편함,386,D-5,2월 13일(목) ~ 2월 26일(수),0,0,https://cf-cpi.campuspick.com/activity/1739422730464483.jpg,https://www.campuspick.com/activity/view?id=28009,"▷ 주최사 / 활동명  온기우편함 / 손글씨 기부 활동   ▷ 활동내용  소원우체국에 도착한 소중한 소망?소원편지에 대해, 엽서로 답장을 작성하는 활동이에요.  우리 가족이 아프지 않고 행복하길 바라는 소원, 친구들과 잘 지내고 싶다는 소원, 소중한 아기천사가 찾아오길 바라는 소원 등의 소망편지에 응원의 마음을 담아 답장을 전해주실 따뜻한 분들을 모집해요 :)   ▷ 모집기간  2월 26일(수) 까지에요.   ▷ 활동장소  아산나눔재단 MARU180 (서울시 강남구 역삼로 180 지하 1층)   ▷ 신청방식  아래 링크를 통해 지원해 주세요 ㅎㅎ* https://tally.so/r/npkbVP   ▷ 온기우편함 소개 ??  온기우편함은 익명으로 고민을 보내주시면, 손편지로 답장을 전하는 정서지원 활동을 있어요. 전국 73곳에 우편함을 설치해, 700명의 온기우체부 자원봉사자분들과 함께 매주 손편지 답장을 전해드리고 있어요.  *온기 인스타그램 : https://www.instagram.com/ongi_letter (@ongi_letter) *온기 홈페이지 : https://ongibox.co.kr/   ▷ 기타사항  1365 봉사시간 발급 가능해요 ??"
국내봉사,제3기 공정병역 지킴이 모집 공고,병무청,415,D-12,2월 17일(월) ~ 3월 5일(수),0,1,https://cf-cpi.campuspick.com/activity/1739758413704249.jpg,https://www.campuspick.com/activity/view?id=28004,정보 없음
국내봉사,서울노인복지센터) 2025 영상서포터즈단 모집,서울노인복지센터,316,D-7,2월 17일(월) ~ 2월 28일(금),0,0,https://cf-cpi.campuspick.com/activity/1739753844927503.jpg,https://www.campuspick.com/activity/view?id=28000,"2025 서울노인복지센터 청년 영상 서포터즈단 모집   1. 모집 대상 - 어르신과 소통하며 영상 제작 실무 경험을 쌓고 싶은 대학생 및 일반인 (휴학생 적극 환영)  2. 모집 분야 1) 탑골미술관 홍보팀 - 활동내용: 탑골미술관 전시 홍보, 전시 관람 어르신 인터뷰 전시 연계 프로그램 스케치 영상 제작 등 * 탑골미술관 자세히 알아보기 https://seoulnoin.or.kr/senior/space2.asp  2) 서울국제노인영화제 홍보팀 - 활동내용: 서울국제노인영화제 홍보, 찾아가는 서울국제노인영화제 스케치 영상 제작 등 * 서울국제노인영화제 자세히 알아보기 https://seoulnoin.or.kr/local/sisff.asp  3) 서울노인복지센터 기관 홍보팀 - 활동내용: 센터 사업 소개 영상, 기획 인터뷰 영상 구상 및 제작 등 * 2024년 기획인터뷰 영상 보기 - https://youtu.be/lWCn7WhUJ3g - https://youtu.be/xfeaie8qCCQ  3. 운영 방식 1) 활동 일정: 주1회 (월4회), 팀별 날짜 지정 후 활동 2) 활동 내용: 팀별 영상 기획 및 촬영, 편집 및 업로드 3) 장비 지원: 촬영 장비 및 편집 프로그램  4. 활동혜택 1) 영상 제작 및 기획 실무 경험 제공 2) 영상 서포터즈단 명찰 제공 3) vms 봉사시간 부여 및 활동 인증서 수여 4) 정기 모임 지원 5) 우수 팀 수상, 수상 경품 제공 6) 자원봉사자 송년모임 초청  5. 신청방법 1) 지원서 및 개인정보활용 동의서 다운로드 후 작성 2) 이전 제작 영상 (포트폴리오) 1~2편과 함께 메일 제출 (is2411@seoulnoin.or.kr)"
국내봉사,??2025년 9기 대학생기획단 '유스토리' 추가모집??,마포청소년문화의집,461,D-12,2월 15일(토) ~ 3월 5일(수),0,0,https://cf-cpi.campuspick.com/activity/1739612437245157.jpg,https://www.campuspick.com/activity/view?id=27996,"??2025년 9기 대학생기획단 '유스토리' 추가모집??  다양한 학교, 전공의 대학생들과 교류하며 의미있고 재미있는 대외활동 하고 싶은 대학생 기획단을 모집합니다!  ??모집대상 ESG, 글로벌, 세계시민 등에 관심있는 대학생 8명  ??모집기간 2025. 2. 15.(토) ~ 3.5.(수)  ??활동일정 2025. 3. ~ 7.(4개월) - 정기모임: 매주 토요일 오후 15~18시 - 발대식(3/15) 및 해단식(7/5) 필수참석!!  ?? 활동내용 ?소양교육(프로그램 개발, SDGs(지속가능발전목표)) ?청소년대상 프로그램 기획 및 운영 ?대학생 네트워크 활동  ??활동혜택 ?봉사활동시간 지급(20시간 이상) ?우수활동자 표창 ?위촉장 및 수료증 발급  ??전형절차 1. 서류마감: 3.5.(수) 2. 서류발표: 3.6.(목) 15시 3. 인터뷰: 3.8.(토) 오전 4. 합격자발표: 3.11.(수) 15시  ??유스토리 신청서(양식) 작성 후 홈페이지 또는 이메일 제출(youth___story@naver.com)  ??신청하러 바로가기 https://www.mycc.or.kr/p_activity/yapp_view.php?p_id=186&page=1&  ??문의 마포청소년문화의집 활기찬청소년팀 유하늘 02-303-2606(내선 6401)"
국내봉사,사상구청소년유해환경감시단원 모집,사상구청소년수련관,26,D-14,2월 15일(토) ~ 3월 7일(금),0,0,https://cf-cpi.campuspick.com/activity/1739598543261391.jpg,https://www.campuspick.com/activity/view?id=27992,"[사상구청소년수련관 ""청소년 유해 환경 감시단"" 모집합니다]  ""사상구의 각종 유해환경으로부터 청소년을 보호하고 정화를 위한 감시,고발 활동을 수행하는 단체""  ○ 활동명: 청소년 유해환경감시단 ○ 활동기간: 2025년 3월~12월 ○ 대상: 20~24세 후기 청소년, 10명 ○ 활동 내용 ▶ 월 1회 정기모임 및 감시활동 ▶ 지역 축제 참여 등 ○ 활동 혜택 ▶ 자원봉사활동시간 지급 ▶ 소정의 활동비 지급 등 ○ 접수 방법 ▶ 홍보지 내 신청 QR코드 작성  ★문의사항★ ☎ 051-316-2214 (내선 5번) ☎ 070-5158-8535 (직통번호)"
국내봉사,사상구청소년수련관 청소년참여위원회 '사상타울' 모집,사상구청소년수련관,135,D-4,2월 15일(토) ~ 2월 25일(화),0,0,https://cf-cpi.campuspick.com/activity/1739598426545412.jpg,https://www.campuspick.com/activity/view?id=27991,"[사상구청소년수련관 청소년참여위원회 '사상타울' 모집합니다] ""청소년의 시선에서, 청소년의 정책을 탐구하고 제안힙니다!""  ○ 활동명: 청소년참여위원회 사상타울  ○ 활동기간: 2025년 3월~12월 ○ 대상: 14~24세 후기 청소년, 10명  ○ 활동 내용 ▶ 청소년 정책제안 및 지역사회 참여활동 ▶ 타 기관과의 교류활동 등  ○ 활동 혜택 ▶ 자원봉사활동시간 지급 ▶ 사상구청장 명의 위촉장 발급 ▶ 지역사회 참여활동 등  ○ 접수 방법 ▶ 청소년참여위원회 홍보지 내 신청 QR코드 또는 하단 구글폼 신청서 작성 ▶ https://forms.gle/CZxAiPE6VdRSpSii9  ★문의사항★ ☎ 051-316-2214 (내선 5번) ☎ 070-5158-8996 (직통번호)"
국내봉사,사상구청소년수련관 문화기획 서포터즈 세레니티 모집,사상구청소년수련관,187,D-7,2월 15일(토) ~ 2월 28일(금),0,0,https://cf-cpi.campuspick.com/activity/1739598109305849.jpg,https://www.campuspick.com/activity/view?id=27990,"[사상구청소년수련관 문화기획 서포터즈 '세레니티' 모집합니다]  ○ 활동명: 문화기획 서포터즈 '세레니티' ○ 활동기간: 2025년 3월~12월 ○ 대상: 20~24세 후기 청소년, 20명 ○ 활동 내용 ▶ 청소년 활동 및 축제 기획 ▶ 지역사회 축제 부스 운영 등 ○ 활동 혜택 ▶ 세레니티 활동 증명서 발급 등 ▶ 자원봉사활동시간 지급 ▶ 우수 봉사자 활동 시상 ○ 접수 방법 ▶ 청소년동아리모집 신청 QR코트 스캔 후 신청서 내 '세레니티' 선택 ▶ 담당자 유선 통화 후 신청 완료  ★문의사항 ★☎ 051-316-2214 (내선 5번) ☎ 070-5158-8996 (직통번호)"
국내봉사,??분당판교청소년수련관 문화기획단 T-Ma!n단원 모집??,판교청소년수련관,199,D-DAY,1월 25일(토) ~ 2월 21일(금),0,0,https://cf-cpi.campuspick.com/activity/1739586467444677.jpg,https://www.campuspick.com/activity/view?id=27988,정보 없음
국내봉사,2025년 대학생 자원봉사 서포터즈 '띵동' 봉사자 모집,공릉종합사회복지관,166,D-14,2월 7일(금) ~ 3월 7일(금),0,0,https://cf-cpi.campuspick.com/activity/1739509397193810.jpg,https://www.campuspick.com/activity/view?id=27980,<공릉복지관 지역밀착형사업 대학생 자원봉사 서포터즈 '띵동' 봉사자 모집>  1. 모집대상: 대학생 자원봉사자(대학생 및 휴학생)  2. 활동기간: 2025년 3월 ~ 12월  3. 활동내용 1) 하계2동 동특화 프로그램 우리가족 뭐하~계 기획 및 진행 - 초등학생 자녀를 둔 가족과 함께하는 문화 여가 프로그램 2) 기타 주민관계망 프로그램 참여  4. 활동장소: 공릉종합사회복지관 & 하계2동  5. 활동혜택 1) 봉사활동 인증 및 봉사활동 시간 부여 2) 봉사 종료 후 인증서 지급(활동우수자에겐 표창 지급)  6. 지원방법 1차: 신청서 - 홈페이지 게시글 첨부파일 다운로드 - 담당자 이메일로 제출 : chgh9029@naver.com 2차: 개별 인터뷰 (2.24~2.28)  7. 문의사항: 02-948-0520(사례관리팀 조계현 사회복지사)
국내봉사,2025년 기아 프렌토링 신규 멘토 모집,우면종합사회복지관,895,D-7,2월 14일(금) ~ 2월 28일(금),0,4,https://cf-cpi.campuspick.com/activity/1739500294041215.jpg,https://www.campuspick.com/activity/view?id=27978,"* 기아 프렌토링(KIA FRIENTORING)이란? 기아 프렌토링은 서초구 내 아동, 청소년 멘티와 대학생 멘토를 1:1로 연계하여 학습, 정서, 진로활동을 아우르는 통합 멘토링 프로그램으로 기아 주식회사로부터 후원을 받아 반포종합사회복지관, 방배유스센터, 우면종합사회복지관 3개 기관이 연합해 아이들의 건강한 성장을 지원하고 있습니다.  2025년을 맞이해 기아 프렌토링 사업을 함께 할 신규 대학생 멘토를 모집하고 있으니 많은 참여와 관심 부탁드립니다!  고민이 되신다구요? 멘티 친구들에게 만나보고 싶은 멘토 선생님을 물어봤을 때...  “친구같은”, “공감을 잘 해 주는”, “다정한”, “영어를 잘 알려주는”, “언니같은”, “관심사가 같은”, “친절한”  라고 대답했습니다. 내가 여기에 해당이 되는 거 같다 라고 생각이 든다면 우리 멘티 친구들이 두 팔 벌려 기다리고 있으니 지금 바로 기아 프렌토링 멘토에 신청해주세요!   1. 활동기간 : 2025. 4. ~ 12.(9개월)   2. 모집대상 가. 청소년 대상 멘토링 활동에 관심이 있는 서울/경기권 소재 대학생(휴학생 포함) 나. 월 2회 이상 1:1 멘토링 활동이 가능한 자 다. 멘토링 진행을 위해 양재동까지 이동이 가능한 자 라. 기한 내 활동일지 작성 후 제출이 가능한 자 마. 멘토링 활동 외 기아 프렌토링 세부 활동 참여가 가능한 자(세부활동 6번 항목 참조)   3. 모집인원 : 30명   4. 모집 절차 가.지원 접수 : 2. 14.(금) ~ 2. 28.(금) 나. 서류 합격 발표 : 3. 7.(금) *홈페이지 공지 및 합격자 개별 통보 다. 온라인 면접 : 3. 12.(수) ~ 3. 14.(금) 택 *구글 미트 화상 회의 라. 멘토 선정 : 3. 19.(수) *홈페이지 공지 및 합격자 개별 통보 ※ 오리엔테이션, 멘토교육 필수 참석! 미참여 시 선정 취소   5. 접수방법 : 네이버 폼 작성 제출(https://naver.me/GDaGSEsb) *네이버 로그인 필수! ※ 첨부 파일에서 '개인정보제공활용동의서(멘토용)' 다운로드 후 네이버 폼 내 이미지 형태로 업로드 ※ 반포종합사회복지관, 방배아트유스센터 중복 신청 불가!   6. 활동내용 가. 오리엔테이션 (연 1회, 3월) 나. 월 2회 이상 1:1 개별 멘토링 진행(학습, 정서, 진로 등) - 멘토링 주제, 일정 등을 멘티와 협의하여 활동 계획서 작성 - 회당 2시간 이상 활동일지 작성 및 제출 - 활동 장소 : 복지관 및 외부(비대면 불가) 다. 멘토 역량강화교육(연 1회, 4월) 라. 멘티 관계형성 프로그램(연 1회, 4월) 마. 멘토 모임(연 2회, 5월·9월) 바. 진로탐색활동(연 2회, 5월·8월) - 멘티와 함께 심리검사, 대학탐방, 직업체험 진행 사. 기아 임직원과 함께 하는 그룹 멘토링(연 1회, 8월) - 채용설명회, 기관견학 등 기아 임직원과 함께 그룹 멘토링 진행 아. 에코멘토링(연 1회, 11월) - 기아 임직원과 함께 하는 친환경 교육 및 물품 제작 참여 자. 최종평가회(연 1회, 12월) 차. 기아 프렌토링 연합 활동(당일캠프, 연합 성장보고회) *일정 추후 안내 - 연합 기관 멘토-멘티가 모두 참여하는 기아 프렌토링 단체 행사  ※ 개별 멘토링 이외 행사는 참여 시 별도 활동비를 지급하진 않으나, 봉사 시간을 제공하고 있습니다.   7. 참여혜택 가. 활동비 지급(회당 2만원) 나. 조장 지원비 지급(월 2만원) * 조장 업무 - 조별 활동일지 취합여부 확인 - 사업 관련 공지사항 전달 및 일정 취합 다. 우수 멘토링팀 지원비 지급(월 3만원) *3팀 선정 라. 특별활동지원비 지급(연간 12만원) 마. 학습교재지원비 지급(연간 3만원) *멘토링 학습에 필요한 교재 지원 바. VMS 자원봉사시간 등록 사. 수료증 수여 아. 활동 우수자에게 별도의 시상   8. 우대사항 가. 1:1 멘토링 활동 외에 기아 프렌토링 관련 행사에 필수 참석이 가능한 자 나. 청소년 대상 멘토링 활동 경험이 있는 자 다. 초~고 대상 기초학습(국, 영, 수) 지도가 가능한 라. 토, 일 주말 참여가 가능한 자   9. 유의사항 가. 지원서 작성 오기입 또는 누락 등으로 발생한 책임은 지원자에게 있습니다. 나. 상기 일정은 기관의 사정에 따라 일부 변경될 수 있습니다.   10. 문의 가. 담당자 : 우면종합사회복지관 서비스지원1팀 김자영 사회복지사(070-4113-4219) 나. 카카오톡 오픈채팅 : https://open.kakao.com/o/sxPmcoeh"
국내봉사,대학생 환경서포터즈 “에코나래 2기” 모집,인천업사이클에코센터,916,D-10,2월 13일(목) ~ 3월 3일(월),0,0,https://cf-cpi.campuspick.com/activity/1739493824667205.jpg,https://www.campuspick.com/activity/view?id=27975,정보 없음
국내봉사,청춘어람 14기 모집,청춘어람,"2,402",D-DAY,2월 9일(일) ~ 2월 21일(금),0,0,https://cf-cpi.campuspick.com/activity/1739458248822615.jpg,https://www.campuspick.com/activity/view?id=27974,"??청춘강연단 청춘어람 14기 신입멘토 모집?? 청춘어람은 청춘을 즐겨라! "" 라는 슬로건을 가지고, 멘토들이 가진 경험을 청소년들과 공유하며, 소통을 활성화 해나가기 위해 부산지역 대학생들이 결성한 강연단체입니다.  ??청춘어람은 부산광역시 교육청 진로진학센터, 금정구자원봉사센터와 함께합니다??  저희와 함께 청춘어람을 이끌어 나갈 14기 멘토를 모집합니다 ??  ??지원 자격: 부산 지역에 거주하는 대학생  ??지원 기간: 2/9 ~ 2/21  ?? 지원 방법: 하단 이미지를 참고하여 네이퍼 폼 작성 https://naver.me/Gmb6caTm ?? 활동 혜택 1) 개인별 봉사활동 시간 인정 2) 위촉장 발급 3) 다양한 대학의 학생들과 네트워크 형성 4) 고교 방문 멘토링, 청춘카페, 청춘강연단 등 다양한 멘토링 프로그램 참여  ??청춘어람은 종교 및 정치적인 활동과 무관 하며, 다양한 경험들과 즐거운 분위기 속에 서 활동할 수 있습니다 ! 많은 관심 부탁드립니다 ??"
